,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,Mrc1,Unkn,,81.5
,A02,SYBR,Mrc1,Unkn,,81.5
,A03,SYBR,Mrc1,Unkn,,81.5
,A04,SYBR,Mrc1,Unkn,,81.5
,A05,SYBR,Mrc1,Unkn,,81.5
,A06,SYBR,Mrc1,Unkn,,81.5
,A07,SYBR,Tgfb1,Unkn,,83
,A08,SYBR,Tgfb1,Unkn,,83
,A09,SYBR,Tgfb1,Unkn,,83
,A10,SYBR,Tgfb1,Unkn,,83
,A11,SYBR,Tgfb1,Unkn,,83
,A12,SYBR,Tgfb1,Unkn,,83
,B01,SYBR,Mrc1,Unkn,,81.5
,B02,SYBR,Mrc1,Unkn,,81.5
,B03,SYBR,Mrc1,Unkn,,81.5
,B04,SYBR,Mrc1,Unkn,,81.5
,B05,SYBR,Mrc1,Unkn,,81.5
,B06,SYBR,Mrc1,Unkn,,81.5
,B07,SYBR,Tgfb1,Unkn,,83
,B08,SYBR,Tgfb1,Unkn,,83
,B09,SYBR,Tgfb1,Unkn,,83
,B10,SYBR,Tgfb1,Unkn,,83
,B11,SYBR,Tgfb1,Unkn,,83
,B12,SYBR,Tgfb1,Unkn,,83
,C01,SYBR,Mrc1,Unkn,,81.5
,C02,SYBR,Mrc1,Unkn,,81.5
,C03,SYBR,Mrc1,Unkn,,81.5
,C04,SYBR,Mrc1,Unkn,,81.5
,C05,SYBR,Mrc1,Unkn,,81.5
,C06,SYBR,Mrc1,Unkn,,81.5
,C07,SYBR,Tgfb1,Unkn,,83
,C08,SYBR,Tgfb1,Unkn,,83
,C09,SYBR,Tgfb1,Unkn,,83
,C10,SYBR,Tgfb1,Unkn,,83
,C11,SYBR,Tgfb1,Unkn,,83
,C12,SYBR,Tgfb1,Unkn,,83
,D01,SYBR,Mrc1,Unkn,,81.5
,D02,SYBR,Mrc1,Unkn,,81.5
,D03,SYBR,Mrc1,Unkn,,81.5
,D04,SYBR,Mrc1,Unkn,,81.5
,D05,SYBR,Mrc1,Unkn,,81.5
,D06,SYBR,Mrc1,Unkn,,81.5
,D07,SYBR,Tgfb1,Unkn,,83
,D08,SYBR,Tgfb1,Unkn,,83
,D09,SYBR,Tgfb1,Unkn,,83
,D10,SYBR,Tgfb1,Unkn,,83
,D11,SYBR,Tgfb1,Unkn,,83
,D12,SYBR,Tgfb1,Unkn,,83
,E01,SYBR,Mrc1,Unkn,,81.5
,E02,SYBR,Mrc1,Unkn,,81.5
,E03,SYBR,Mrc1,Unkn,,81.5
,E04,SYBR,Mrc1,Unkn,,81.5
,E05,SYBR,Mrc1,Unkn,,81.5
,E06,SYBR,Mrc1,Unkn,,81.5
,E07,SYBR,Tgfb1,Unkn,,83
,E08,SYBR,Tgfb1,Unkn,,83
,E09,SYBR,Tgfb1,Unkn,,83
,E10,SYBR,Tgfb1,Unkn,,83
,E11,SYBR,Tgfb1,Unkn,,83
,E12,SYBR,Tgfb1,Unkn,,83
,F01,SYBR,Mrc1,Unkn,,81.5
,F02,SYBR,Mrc1,Unkn,,81.5
,F03,SYBR,Mrc1,Unkn,,81.5
,F04,SYBR,Mrc1,Unkn,,81.5
,F05,SYBR,Mrc1,Unkn,,81.5
,F06,SYBR,Mrc1,Unkn,,81.5
,F07,SYBR,Tgfb1,Unkn,,83
,F08,SYBR,Tgfb1,Unkn,,83
,F09,SYBR,Tgfb1,Unkn,,83
,F10,SYBR,Tgfb1,Unkn,,83
,F11,SYBR,Tgfb1,Unkn,,83
,F12,SYBR,Tgfb1,Unkn,,83
,G01,SYBR,Mrc1,Unkn,,81.5
,G02,SYBR,Mrc1,Unkn,,81.5
,G03,SYBR,Mrc1,Unkn,,81.5
,G04,SYBR,Mrc1,Unkn,,81.5
,G05,SYBR,Mrc1,Unkn,,81.5
,G06,SYBR,Mrc1,Unkn,,81.5
,G07,SYBR,Tgfb1,Unkn,,83
,G08,SYBR,Tgfb1,Unkn,,83
,G09,SYBR,Tgfb1,Unkn,,83
,G10,SYBR,Tgfb1,Unkn,,83
,G11,SYBR,Tgfb1,Unkn,,83
,G12,SYBR,Tgfb1,Unkn,,83
,H01,SYBR,Mrc1,Unkn,,81.5
,H02,SYBR,Mrc1,Unkn,,81.5
,H03,SYBR,Mrc1,Unkn,,81.5
,H04,SYBR,Mrc1,Unkn,,81.5
,H05,SYBR,Mrc1,Unkn,,81.5
,H06,SYBR,Mrc1,Unkn,,81.5
,H07,SYBR,Tgfb1,Unkn,,83
,H08,SYBR,Tgfb1,Unkn,,83
,H09,SYBR,Tgfb1,Unkn,,83
,H10,SYBR,Tgfb1,Unkn,,83
,H11,SYBR,Tgfb1,Unkn,,83
,H12,SYBR,Tgfb1,Unkn,,83
