,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,Mrc1,Unkn,,26.0729852205195,NaN
,A02,SYBR,Mrc1,Unkn,,25.5312676742461,NaN
,A03,SYBR,Mrc1,Unkn,,26.3832640944166,NaN
,A04,SYBR,Mrc1,Unkn,,26.4315223764052,NaN
,A05,SYBR,Mrc1,Unkn,,26.4272059420642,NaN
,A06,SYBR,Mrc1,Unkn,,26.2995162718958,NaN
,A07,SYBR,Tgfb1,Unkn,,22.1709280690397,NaN
,A08,SYBR,Tgfb1,Unkn,,22.1416238006699,NaN
,A09,SYBR,Tgfb1,Unkn,,22.6646967410402,NaN
,A10,SYBR,Tgfb1,Unkn,,22.630712098855,NaN
,A11,SYBR,Tgfb1,Unkn,,22.3449949059799,NaN
,A12,SYBR,Tgfb1,Unkn,,22.3644666377683,NaN
,B01,SYBR,Mrc1,Unkn,,29.1074023241166,NaN
,B02,SYBR,Mrc1,Unkn,,28.1675371527488,NaN
,B03,SYBR,Mrc1,Unkn,,26.3131327989771,NaN
,B04,SYBR,Mrc1,Unkn,,26.274608022024,NaN
,B05,SYBR,Mrc1,Unkn,,27.0728580523374,NaN
,B06,SYBR,Mrc1,Unkn,,27.0688826956418,NaN
,B07,SYBR,Tgfb1,Unkn,,25.6045374600996,NaN
,B08,SYBR,Tgfb1,Unkn,,26.4601553587575,NaN
,B09,SYBR,Tgfb1,Unkn,,25.0316466797687,NaN
,B10,SYBR,Tgfb1,Unkn,,24.1551281318976,NaN
,B11,SYBR,Tgfb1,Unkn,,24.1541673472629,NaN
,B12,SYBR,Tgfb1,Unkn,,24.2461530614652,NaN
,C01,SYBR,Mrc1,Unkn,,28.3052603879181,NaN
,C02,SYBR,Mrc1,Unkn,,28.3504782068533,NaN
,C03,SYBR,Mrc1,Unkn,,27.1167825713815,NaN
,C04,SYBR,Mrc1,Unkn,,27.2709755063291,NaN
,C05,SYBR,Mrc1,Unkn,,27.484984067227,NaN
,C06,SYBR,Mrc1,Unkn,,27.293793132944,NaN
,C07,SYBR,Tgfb1,Unkn,,25.225549738389,NaN
,C08,SYBR,Tgfb1,Unkn,,25.3278397840075,NaN
,C09,SYBR,Tgfb1,Unkn,,24.1084183045879,NaN
,C10,SYBR,Tgfb1,Unkn,,24.2283639287838,NaN
,C11,SYBR,Tgfb1,Unkn,,24.217906686809,NaN
,C12,SYBR,Tgfb1,Unkn,,24.3173456341911,NaN
,D01,SYBR,Mrc1,Unkn,,26.4895682138229,NaN
,D02,SYBR,Mrc1,Unkn,,26.6292668290688,NaN
,D03,SYBR,Mrc1,Unkn,,26.9098271335688,NaN
,D04,SYBR,Mrc1,Unkn,,27.0316085739597,NaN
,D05,SYBR,Mrc1,Unkn,,26.2145117457524,NaN
