,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,31.0972985645323,NaN
,A02,SYBR,,Unkn,,30.8594128709816,NaN
,A03,SYBR,,Unkn,,31.0053136700735,NaN
,A04,SYBR,,Unkn,,30.8143992980443,NaN
,A05,SYBR,,Unkn,,31.4457808009101,NaN
,A06,SYBR,,Unkn,,31.2607006191055,NaN
,A07,SYBR,,Unkn,,30.5244099155244,NaN
,A08,SYBR,,Unkn,,30.5548444117344,NaN
,A09,SYBR,,Unkn,,31.1551556104492,NaN
,A10,SYBR,,Unkn,,30.8500618667441,NaN
,A11,SYBR,,Unkn,,30.9362143941268,NaN
,A12,SYBR,,Unkn,,30.6496198457233,NaN
,B01,SYBR,,Unkn,,25.7164777337292,NaN
,B02,SYBR,,Unkn,,26.0311007925261,NaN
,B03,SYBR,,Unkn,,27.0163314654643,NaN
,B04,SYBR,,Unkn,,26.8442415925547,NaN
,B05,SYBR,,Unkn,,24.4198341785939,NaN
,B06,SYBR,,Unkn,,24.3474556030618,NaN
,B07,SYBR,,Unkn,,28.6442540385045,NaN
,B08,SYBR,,Unkn,,28.6422756793406,NaN
,B09,SYBR,,Unkn,,30.4487335858364,NaN
,B10,SYBR,,Unkn,,30.5776416697369,NaN
,B11,SYBR,,Unkn,,28.5861341093747,NaN
,B12,SYBR,,Unkn,,28.5588720067364,NaN
,C01,SYBR,,Unkn,,23.7029799878353,NaN
,C02,SYBR,,Unkn,,24.0056155395583,NaN
,C03,SYBR,,Unkn,,24.4249842912054,NaN
,C04,SYBR,,Unkn,,24.5418511048646,NaN
,C05,SYBR,,Unkn,,22.7955342540887,NaN
,C06,SYBR,,Unkn,,22.7638813065888,NaN
,C07,SYBR,,Unkn,,28.2617676503826,NaN
,C08,SYBR,,Unkn,,28.4026492625803,NaN
,C09,SYBR,,Unkn,,29.5298229264628,NaN
,C10,SYBR,,Unkn,,29.5538034909557,NaN
,C11,SYBR,,Unkn,,27.2427691419257,NaN
,C12,SYBR,,Unkn,,27.1861885490769,NaN
,D01,SYBR,,Unkn,,21.5749070532496,NaN
,D02,SYBR,,Unkn,,21.5965240909615,NaN
,D03,SYBR,,Unkn,,21.6887504719406,NaN
,D04,SYBR,,Unkn,,21.6446841264311,NaN
,D05,SYBR,,Unkn,,21.1211940781002,NaN
,D06,SYBR,,Unkn,,21.1139841482799,NaN
,D07,SYBR,,Unkn,,24.2478074316201,NaN
,D08,SYBR,,Unkn,,24.1777734718747,NaN
,D09,SYBR,,Unkn,,26.3843526928468,NaN
,D10,SYBR,,Unkn,,26.5463671629367,NaN
,D11,SYBR,,Unkn,,23.051445141828,NaN
,D12,SYBR,,Unkn,,23.0014206523046,NaN
,E01,SYBR,,Unkn,,22.2644440219881,NaN
,E02,SYBR,,Unkn,,22.2360141153276,NaN
,E03,SYBR,,Unkn,,22.1091301210591,NaN
,E04,SYBR,,Unkn,,22.1753123406442,NaN
,E05,SYBR,,Unkn,,22.1751356582644,NaN
,E06,SYBR,,Unkn,,22.1855220928576,NaN
,E07,SYBR,,Unkn,,28.1101346231219,NaN
,E08,SYBR,,Unkn,,28.1606693181312,NaN
,E09,SYBR,,Unkn,,29.4189669571961,NaN
,E10,SYBR,,Unkn,,29.4773895970683,NaN
,E11,SYBR,,Unkn,,27.6192494222655,NaN
,E12,SYBR,,Unkn,,27.7258526554409,NaN
,F01,SYBR,,Unkn,,21.1328936294219,NaN
,F02,SYBR,,Unkn,,21.3637848393592,NaN
,F03,SYBR,,Unkn,,21.1023168459701,NaN
,F04,SYBR,,Unkn,,21.0368685983359,NaN
,F05,SYBR,,Unkn,,20.9371964994682,NaN
,F06,SYBR,,Unkn,,20.9439693485976,NaN
,F07,SYBR,,Unkn,,22.0753078938033,NaN
,F08,SYBR,,Unkn,,21.9855623613679,NaN
,F09,SYBR,,Unkn,,24.7826594120861,NaN
,F10,SYBR,,Unkn,,24.965451107178,NaN
,F11,SYBR,,Unkn,,21.7625042689167,NaN
,F12,SYBR,,Unkn,,21.7418410345976,NaN
,G01,SYBR,,Unkn,,30.4339207858041,NaN
,G02,SYBR,,Unkn,,30.2424212704369,NaN
,G03,SYBR,,Unkn,,30.1096029328939,NaN
,G04,SYBR,,Unkn,,30.4441234819334,NaN
,G05,SYBR,,Unkn,,30.7302124275126,NaN
,G06,SYBR,,Unkn,,30.968243428426,NaN
,G07,SYBR,,Unkn,,30.1627731734585,NaN
,G08,SYBR,,Unkn,,30.3248921150433,NaN
,G09,SYBR,,Unkn,,30.5286911534997,NaN
,G10,SYBR,,Unkn,,30.6018288660038,NaN
,G11,SYBR,,Unkn,,30.9517378746207,NaN
,G12,SYBR,,Unkn,,30.8631503306444,NaN
,H01,SYBR,,Unkn,,22.5785560541706,NaN
,H02,SYBR,,Unkn,,22.4073975833719,NaN
,H03,SYBR,,Unkn,,23.2390200397971,NaN
,H04,SYBR,,Unkn,,23.1162613268293,NaN
,H05,SYBR,,Unkn,,23.6604500802216,NaN
,H06,SYBR,,Unkn,,23.5489909442988,NaN
,H07,SYBR,,Unkn,,27.9968430166573,NaN
,H08,SYBR,,Unkn,,27.9354714158219,NaN
,H09,SYBR,,Unkn,,29.8422112530552,NaN
,H10,SYBR,,Unkn,,29.5995854449649,NaN
,H11,SYBR,,Unkn,,27.494408040897,NaN
,H12,SYBR,,Unkn,,28.1156585440218,NaN
